id;date_t;montant;date_r;commission;comm_system;comm_exp;tax_2;statut;code;commretrait
1;2019-10-13;79654;2019-10-12;18343;73199;77969;59865;Table Computer;Trace;33370
2;2019-10-13;14286;2019-10-13;65088;2058;5641;96990;parsing red Chips;Money Market Account;61165
3;2019-10-13;706;2019-10-13;2306;29122;52477;61185;Steel zero administration;Multi-channelled Licensed;61838
4;2019-10-13;38246;2019-10-13;98323;59241;46676;4645;Credit Card Account Table Small Frozen Sausages;South Dakota envisioneer Music;23089
5;2019-10-13;24102;2019-10-13;68326;12203;60999;49517;Games Regional Digitized;copy convergence;20794
6;2019-10-13;56770;2019-10-13;3131;96958;84228;77513;Markets Chief;capacitor archive;57044
7;2019-10-13;52083;2019-10-13;96117;32533;84453;38867;interactive generating compelling;Home Loan Account;27599
8;2019-10-13;29627;2019-10-13;16526;7455;1563;98688;index orange;Jewelery;19884
9;2019-10-13;71134;2019-10-13;79017;77127;60595;7404;world-class Frozen IB;Highway Ergonomic;37081
10;2019-10-13;66884;2019-10-13;66592;72960;59129;63755;COM;embrace Developer;84891
